フランス語学科,*,*,2000,名詞,名詞,一般,*,*,*,フランス語学科,フランスゴガッカ,フランスゴガッカ
フランス学科,*,*,2000,名詞,名詞,一般,*,*,*,フランス学科,フランスガッカ,フランスガッカ
フランス文学科,*,*,2000,名詞,名詞,一般,*,*,*,フランス文学科,フランスブンガクカ,フランスブンガクカ
フランス語フランス文学科,*,*,2000,名詞,名詞,一般,*,*,*,フランス語フランス文学科,フランスゴフランスブンガクカ,フランスゴフランスブンガクカ
ドイツ語学科,*,*,2000,名詞,名詞,一般,*,*,*,ドイツ語学科,ドイツゴガッカ,ドイツゴガッカ
ドイツ学科,*,*,2000,名詞,名詞,一般,*,*,*,ドイツ学科,ドイツガッカ,ドイツガッカ
イタリア語学科,*,*,2000,名詞,名詞,一般,*,*,*,イタリア語学科,イタリアゴガッカ,イタリアゴガッカ
ロシア語学科,*,*,2000,名詞,名詞,一般,*,*,*,ロシア語学科,ロシアゴガッカ,ロシアゴガッカ
ロシア学科,*,*,2000,名詞,名詞,一般,*,*,*,ロシア学科,ロシアガッカ,ロシアガッカ
スペイン語学科,*,*,2000,名詞,名詞,一般,*,*,*,スペイン語学科,スペインゴガッカ,スペインゴガッカ
スペイン学科,*,*,2000,名詞,名詞,一般,*,*,*,スペイン学科,スペインガッカ,スペインガッカ
イスパニア語学科,*,*,2000,名詞,名詞,一般,*,*,*,イスパニア語学科,イスパニアゴガッカ,イスパニアゴガッカ
スペイン語スペイン文学科,*,*,2000,名詞,名詞,一般,*,*,*,スペイン語スペイン文学科,スペインゴスペインブンガクカ,スペインゴスペインブンガクカ
スペイン・ラテンアメリカ学科,*,*,2000,名詞,名詞,一般,*,*,*,スペイン・ラテンアメリカ学科,スペイン・ラテンアメリカガッカ,スペイン・ラテンアメリカガッカ
イスパニア学科,*,*,2000,名詞,名詞,一般,*,*,*,イスパニア学科,イスパニアガッカ,イスパニアガッカ
ポルトガル語学科,*,*,2000,名詞,名詞,一般,*,*,*,ポルトガル語学科,ポルトガルゴガッカ,ポルトガルゴガッカ
ブラジルポルトガル語学科,*,*,2000,名詞,名詞,一般,*,*,*,ブラジルポルトガル語学科,ブラジルポルトガルゴガッカ,ブラジルポルトガルゴガッカ
中国学科,*,*,2000,名詞,名詞,一般,*,*,*,中国学科,チュウゴクガッカ,チュウゴクガッカ
中国語学科,*,*,2000,名詞,名詞,一般,*,*,*,中国語学科,チュウゴクゴガッカ,チュウゴクゴガッカ
中国文学科,*,*,2000,名詞,名詞,一般,*,*,*,中国文学科,チュウゴクブンガクカ,チュウゴクブンガクカ
現代中国学科,*,*,2000,名詞,名詞,一般,*,*,*,現代中国学科,ゲンダイチュウゴクガッカ,ゲンダイチュウゴクガッカ
中国語中国文学科,*,*,2000,名詞,名詞,一般,*,*,*,中国語中国文学科,チュウゴクゴチュウゴクブンガクカ,チュウゴクゴチュウゴクブンガクカ
中国語中国文化学科,*,*,2000,名詞,名詞,一般,*,*,*,中国語中国文化学科,チュウゴクゴチュウゴクブンカガッカ,チュウゴクゴチュウゴクブンカガッカ
中国言語文化学科,*,*,2000,名詞,名詞,一般,*,*,*,中国言語文化学科,チュウゴクゲンゴブンカガッカ,チュウゴクゲンゴブンカガッカ
韓国語学科,*,*,2000,名詞,名詞,一般,*,*,*,韓国語学科,カンコクゴガッカ,カンコクゴガッカ
アジア学科,*,*,2000,名詞,名詞,一般,*,*,*,アジア学科,アジアガッカ,アジアガッカ
アジア語学科,*,*,2000,名詞,名詞,一般,*,*,*,アジア語学科,アジアゴガッカ,アジアゴガッカ
アジア文化学科,*,*,2000,名詞,名詞,一般,*,*,*,アジア文化学科,アジアブンカガッカ,アジアブンカガッカ
東アジア学科,*,*,2000,名詞,名詞,一般,*,*,*,東アジア学科,ヒガシアジアガッカ,ヒガシアジアガッカ
東アジア地域言語学科,*,*,2000,名詞,名詞,一般,*,*,*,東アジア地域言語学科,ヒガシアジアチイキゲンゴガッカ,ヒガシアジアチイキゲンゴガッカ
アジア言語文化学科,*,*,2000,名詞,名詞,一般,*,*,*,アジア言語文化学科,アジアゲンゴブンカガッカ,アジアゲンゴブンカガッカ
外国語学科,*,*,2000,名詞,名詞,一般,*,*,*,外国語学科,ガイコクゴガッカ,ガイコクゴガッカ
外国語外国文学科,*,*,2000,名詞,名詞,一般,*,*,*,外国語外国文学科,ガイコクゴガイコクブンガクカ,ガイコクゴガイコクブンガクカ
英文学科,*,*,2000,名詞,名詞,一般,*,*,*,英文学科,エイブンガッカ,エイブンガッカ
英米文学科,*,*,2000,名詞,名詞,一般,*,*,*,英米文学科,エイベイブンガクカ,エイベイブンガクカ
ドイツ文学科,*,*,2000,名詞,名詞,一般,*,*,*,ドイツ文学科,ドイツブンガクカ,ドイツブンガクカ
北欧学科,*,*,2000,名詞,名詞,一般,*,*,*,北欧学科,ホクオウガッカ,ホクオウガッカ
コミュニケーション学科,*,*,2000,名詞,名詞,一般,*,*,*,コミュニケーション学科,コミュニケーションガッカ,コミュニケーションガッカ
国際文化・言語学科,*,*,2000,名詞,名詞,一般,*,*,*,国際文化・言語学科,コクサイブンカ・ゲンゴガッカ,コクサイブンカ・ゲンゴガッカ
国際言語コミュニケーション学科,*,*,2000,名詞,名詞,一般,*,*,*,国際言語コミュニケーション学科,コクサイゲンゴコミュニケーションガッカ,コクサイゲンゴコミュニケーションガッカ
国際英語学科,*,*,2000,名詞,名詞,一般,*,*,*,国際英語学科,コクサイエイゴガッカ,コクサイエイゴガッカ
ヨーロッパ文化学科,*,*,2000,名詞,名詞,一般,*,*,*,ヨーロッパ文化学科,ヨーロッパブンカガッカ,ヨーロッパブンカガッカ
東アジア言語文化学科,*,*,2000,名詞,名詞,一般,*,*,*,東アジア言語文化学科,ヒガシアジアゲンゴブンカガッカ,ヒガシアジアゲンゴブンカガッカ
比較文化学科,*,*,2000,名詞,名詞,一般,*,*,*,比較文化学科,ヒカクブンカガッカ,ヒカクブンカガッカ
英米比較文化学科,*,*,2000,名詞,名詞,一般,*,*,*,英米比較文化学科,エイベイヒカクブンカガッカ,エイベイヒカクブンカガッカ
ヨーロッパ比較文化学科,*,*,2000,名詞,名詞,一般,*,*,*,ヨーロッパ比較文化学科,ヨーロッパヒカクブンカガッカ,ヨーロッパヒカクブンカガッカ
日本・東アジア比較文化学科,*,*,2000,名詞,名詞,一般,*,*,*,日本・東アジア比較文化学科,ニッポン・ヒガシアジアヒカクブンカガッカ,ニッポン・ヒガシアジアヒカクブンカガッカ
欧米文化学科,*,*,2000,名詞,名詞,一般,*,*,*,欧米文化学科,オウベイブンカガッカ,オウベイブンカガッカ
米英言語文化学科,*,*,2000,名詞,名詞,一般,*,*,*,米英言語文化学科,ベイエイゲンゴブンカガッカ,ベイエイゲンゴブンカガッカ
英米言語文化学科,*,*,2000,名詞,名詞,一般,*,*,*,英米言語文化学科,エイベイゲンゴブンカガッカ,エイベイゲンゴブンカガッカ
史学科,*,*,2000,名詞,名詞,一般,*,*,*,史学科,シガクカ,シガクカ
国史学科,*,*,2000,名詞,名詞,一般,*,*,*,国史学科,コクシガッカ,コクシガッカ
史学地理学科,*,*,2000,名詞,名詞,一般,*,*,*,史学地理学科,シガクチリガッカ,シガクチリガッカ
地理学科,*,*,2000,名詞,名詞,一般,*,*,*,地理学科,チリガッカ,チリガッカ
歴史地理学科,*,*,2000,名詞,名詞,一般,*,*,*,歴史地理学科,レキシチリガッカ,レキシチリガッカ
歴史文化学科,*,*,2000,名詞,名詞,一般,*,*,*,歴史文化学科,レキシブンカガッカ,レキシブンカガッカ
歴史学科,*,*,2000,名詞,名詞,一般,*,*,*,歴史学科,レキシガッカ,レキシガッカ
総合歴史学科,*,*,2000,名詞,名詞,一般,*,*,*,総合歴史学科,ソウゴウレキシガッカ,ソウゴウレキシガッカ
歴史社会学科,*,*,2000,名詞,名詞,一般,*,*,*,歴史社会学科,レキシシャカイガッカ,レキシシャカイガッカ
文化歴史学科,*,*,2000,名詞,名詞,一般,*,*,*,文化歴史学科,ブンカレキシガッカ,ブンカレキシガッカ
文化史学科,*,*,2000,名詞,名詞,一般,*,*,*,文化史学科,ブンカシガッカ,ブンカシガッカ
日本文化史学科,*,*,2000,名詞,名詞,一般,*,*,*,日本文化史学科,ニッポンブンカシガッカ,ニッポンブンカシガッカ
文化財学科,*,*,2000,名詞,名詞,一般,*,*,*,文化財学科,ブンカザイガッカ,ブンカザイガッカ
美術史・文化財保存修復学科,*,*,2000,名詞,名詞,一般,*,*,*,美術史・文化財保存修復学科,ビジュツシ・ブンカザイホゾンシュウフクガッカ,ビジュツシ・ブンカザイホゾンシュウフクガッカ
文化財修復国際協力学科,*,*,2000,名詞,名詞,一般,*,*,*,文化財修復国際協力学科,ブンカザイシュウフクコクサイキョウリョクガッカ,ブンカザイシュウフクコクサイキョウリョクガッカ
哲学科,*,*,2000,名詞,名詞,一般,*,*,*,哲学科,テツガクカ,テツガクカ
インド哲学科,*,*,2000,名詞,名詞,一般,*,*,*,インド哲学科,インドテツガクカ,インドテツガクカ
思想文化学科,*,*,2000,名詞,名詞,一般,*,*,*,思想文化学科,シソウブンカガッカ,シソウブンカガッカ
中国哲学文学科,*,*,2000,名詞,名詞,一般,*,*,*,中国哲学文学科,チュウゴクテツガクブンガクカ,チュウゴクテツガクブンガクカ
哲学歴史学科,*,*,2000,名詞,名詞,一般,*,*,*,哲学歴史学科,テツガクレキシガッカ,テツガクレキシガッカ
心理学科,*,*,2000,名詞,名詞,一般,*,*,*,心理学科,シンリガッカ,シンリガッカ
心理・行動科学科,*,*,2000,名詞,名詞,一般,*,*,*,心理・行動科学科,シンリ・コウドウカガクカ,シンリ・コウドウカガクカ
文化心理学科,*,*,2000,名詞,名詞,一般,*,*,*,文化心理学科,ブンカシンリガッカ,ブンカシンリガッカ
福祉心理学科,*,*,2000,名詞,名詞,一般,*,*,*,福祉心理学科,フクシシンリガッカ,フクシシンリガッカ
総合心理科学科,*,*,2000,名詞,名詞,一般,*,*,*,総合心理科学科,ソウゴウシンリカガクカ,ソウゴウシンリカガクカ
コミュニケーション心理学科,*,*,2000,名詞,名詞,一般,*,*,*,コミュニケーション心理学科,コミュニケーションシンリガッカ,コミュニケーションシンリガッカ
心理コミュニケーション学科,*,*,2000,名詞,名詞,一般,*,*,*,心理コミュニケーション学科,シンリコミュニケーションガッカ,シンリコミュニケーションガッカ
心理こども学科,*,*,2000,名詞,名詞,一般,*,*,*,心理こども学科,シンリコドモガッカ,シンリコドモガッカ
心理・応用コミュニケーション学科,*,*,2000,名詞,名詞,一般,*,*,*,心理・応用コミュニケーション学科,シンリ・オウヨウコミュニケーションガッカ,シンリ・オウヨウコミュニケーションガッカ
健康心理学科,*,*,2000,名詞,名詞,一般,*,*,*,健康心理学科,ケンコウシンリガッカ,ケンコウシンリガッカ
人間心理学科,*,*,2000,名詞,名詞,一般,*,*,*,人間心理学科,ニンゲンシンリガッカ,ニンゲンシンリガッカ
人間発達心理学科,*,*,2000,名詞,名詞,一般,*,*,*,人間発達心理学科,ニンゲンハッタツシンリガッカ,ニンゲンハッタツシンリガッカ
心理人間学科,*,*,2000,名詞,名詞,一般,*,*,*,心理人間学科,シンリニンゲンガッカ,シンリニンゲンガッカ
心理臨床学科,*,*,2000,名詞,名詞,一般,*,*,*,心理臨床学科,シンリリンショウガッカ,シンリリンショウガッカ
臨床心理学科,*,*,2000,名詞,名詞,一般,*,*,*,臨床心理学科,リンショウシンリガッカ,リンショウシンリガッカ
発達臨床心理学科,*,*,2000,名詞,名詞,一般,*,*,*,発達臨床心理学科,ハッタツリンショウシンリガッカ,ハッタツリンショウシンリガッカ
心理・社会学科,*,*,2000,名詞,名詞,一般,*,*,*,心理・社会学科,シンリ・シャカイガッカ,シンリ・シャカイガッカ
社会臨床心理学科,*,*,2000,名詞,名詞,一般,*,*,*,社会臨床心理学科,シャカイリンショウシンリガッカ,シャカイリンショウシンリガッカ
心理情報学科,*,*,2000,名詞,名詞,一般,*,*,*,心理情報学科,シンリジョウホウガッカ,シンリジョウホウガッカ
心理カウンセリング学科,*,*,2000,名詞,名詞,一般,*,*,*,心理カウンセリング学科,シンリカウンセリングガッカ,シンリカウンセリングガッカ
心理･社会福祉学科,*,*,2000,名詞,名詞,一般,*,*,*,心理･社会福祉学科,シンリ･シャカイフクシガッカ,シンリ･シャカイフクシガッカ
美術学科,*,*,2000,名詞,名詞,一般,*,*,*,美術学科,ビジュツガッカ,ビジュツガッカ
美学芸術学科,*,*,2000,名詞,名詞,一般,*,*,*,美学芸術学科,ビガクゲイジュツガッカ,ビガクゲイジュツガッカ
美学美術史学科,*,*,2000,名詞,名詞,一般,*,*,*,美学美術史学科,ビガクビジュツシガッカ,ビガクビジュツシガッカ
芸術文化学科,*,*,2000,名詞,名詞,一般,*,*,*,芸術文化学科,ゲイジュツブンカガッカ,ゲイジュツブンカガッカ
宗教学科,*,*,2000,名詞,名詞,一般,*,*,*,宗教学科,シュウキョウガッカ,シュウキョウガッカ
宗学科,*,*,2000,名詞,名詞,一般,*,*,*,宗学科,ソウガッカ,ソウガッカ
仏教学科,*,*,2000,名詞,名詞,一般,*,*,*,仏教学科,ブッキョウガッカ,ブッキョウガッカ
仏教文化学科,*,*,2000,名詞,名詞,一般,*,*,*,仏教文化学科,ブッキョウブンカガッカ,ブッキョウブンカガッカ
